"","province_2018","lower_dist","district_2013","district_2018","pop_2010","pop_2011","pop_2012","pop_2013","pop_2014","pop_2015","pop_2016","pop_2017","pop_2018","pop_2019","cbr_province","province_deaths","vacc_province","mcv1_2018","mcv1_2017","mcv1_2016","mcv1_2015","mcv1_2014","mcv1_2013","mcv1_cov_2018","mcv1_cov_2017","mcv1_cov_2016","mcv1_cov_2015","mcv1_cov_2014","mcv1_cov_2013","growth_rate","pop_2020","pop_2021","pop_2022","pop_2023","pop_2024","pop_2025","pop_2026","pop_2020.1","pop_2021.1","pop_2022.1","pop_2023.1","pop_2024.1","pop_2025.1","pop_2026.1","PCES2020","ZAMPHIA","sero_PCES2016","district_map","meanseroprev.pop.2016","lowerseroprev.pop.2016","upperseroprev.pop.2016","sia2016"
"35","Northern","kasama","Kasama","Kasama",240174,240174,248069,256048,264108,272238,280500,288958,297610,306462,44,12.2,"Northern Province",12623,11704,10576,9609,8706,11472,0.99,0.99,0.99,0.99,0.99,0.99,1.02974362420618,315577.290561473,324963.702899937,334629.30115964,344582.389341708,354831.518438353,365385.493779291,376253.38259665,315577.290561473,324963.702899937,334629.30115964,344582.389341708,354831.518438353,365385.493779291,376253.38259665,62.7907,87,NA,"kasama",0.877165910000815,0.865679015371182,0.887182032730676,0.964
"36","North-Western","kasempa","Kasempa","Kasempa",71758,71758,74127,76514,78919,81334,83774,86245,88748,91282,42,10.2,"North Western Province",3062,2924,3010,2239,2904,2858,0.99,0.99,0.99,0.99,0.99,0.99,1.02855275611845,93888.3526840041,96569.1239205533,99326.438564429,102162.482140873,105079.502577897,108079.811988051,111165.788501074,93888.3526840041,96569.1239205533,99326.438564429,102162.482140873,105079.502577897,108079.811988051,111165.788501074,67.46575,83.2,NA,"kasempa",0.851211746722861,0.835588326862295,0.865893063277052,0.856
"37","Eastern","katete","Katete","Katete",249310,249310,256090,262966,269935,276991,284172,144880,148622,152441,43.5,14.4,"Eastern Province",8023,7683,13153,7163,7626,7246,0.99,0.99,0.99,0.95,0.99,0.97,1.02569606114842,156358.133257526,160375.921410763,164496.950894068,168723.87460297,173059.413601966,177506.358876191,182067.573128107,156358.133257526,160375.921410763,164496.950894068,168723.87460297,173059.413601966,177506.358876191,182067.573128107,79.53411,80.5,NA,"katete",0.797024036830652,0.779451671732831,0.81382291173956,0.971
"38","Luapula","kawambwa","Kawambwa","Kawambwa",137841,137841,141892,145985,150119,154294,158532,105520,108377,111288,44.6,15.4,"Luapula Province",3703,3840,3571,3370,3744,3534,0.99,0.99,0.99,0.98,0.99,0.99,1.02685994260775,114277.189292931,117346.668038714,120498.592807445,123735.178094567,127058.697876747,130471.487209531,133975.943867927,114277.189292931,117346.668038714,120498.592807445,123735.178094567,127058.697876747,130471.487209531,133975.943867927,77.04485,78.2,NA,"kawambwa",0.820209293447644,0.802430233583095,0.837221813206155,0.87
"39","Southern","kazungula","Kazungula","Kazungula",109365,109365,114480,119762,125202,130790,136547,142499,148648,154995,40.7,10.1,"Southern Province",6495,5998,4828,4546,4123,2817,0.99,0.99,0.99,0.99,0.97,0.66,1.04269818631936,161613.005388569,168513.587604282,175708.812165153,183211.259764934,191034.048270181,199190.855656563,207695.943924499,161613.005388569,168513.587604282,175708.812165153,183211.259764934,191034.048270181,199190.855656563,207695.943924499,64.11765,81,95.5,"kazungula",0.789478452397408,0.771226962325726,0.807507740959339,0.968
"40","Copperbelt","kitwe","Kitwe","Kitwe",566131,566131,585331,605172,625665,646827,668668,691193,714407,738320,36.6,11.8,"Copperbelt Province",18528,20161,20093,18132,18070,17489,0.89,0.97,0.96,0.87,0.87,0.84,1.03347251636672,763033.428283877,788574.077200465,814969.635905929,842248.720382171,870440.904460013,899576.751880814,929687.849431266,763033.428283877,788574.077200465,814969.635905929,842248.720382171,870440.904460013,899576.751880814,929687.849431266,78.92235,82.7,NA,"kitwe",0.844825040952906,0.827991502953327,0.860259134719668,0.989
"41","Muchinga","lavushi manda","Mpika","Lavushi Manda",14500.325,20714.75,29592.5,42275,44228,46195,50594,39153,40816,42527,45.8,13,"Muchinga Province",2062,1788,1558,1387,1520,1939,0.99,0.99,0.92,0.82,0.9,0.99,1.04191983535868,44309.7248382987,46167.1812083087,48102.5018435355,50118.9508011573,52219.9289670917,54408.9797918343,56689.7952667419,44309.7248382987,46167.1812083087,48102.5018435355,50118.9508011573,52219.9289670917,54408.9797918343,56689.7952667419,70.10676,86.1,NA,"lavushimanda",0.880541106889653,0.870852151117928,0.890023034832707,0.989
"42","Western","limulunga","Mongu","Limulunga",15440.831,22058.33,31511.9,45017,57311,61433,64449,53315,53834,54360,38.7,13.8,"Western Province",2567,2170,1993,2500,2121,1526,0.99,0.99,0.99,0.99,0.99,0.85,1.00977077683249,54891.1394286139,55427.4685020517,55969.0379271748,56515.8989062902,57068.1031419908,57625.7028420444,58188.7507243292,54891.1394286139,55427.4685020517,55969.0379271748,56515.8989062902,57068.1031419908,57625.7028420444,58188.7507243292,65.87838,83.4,NA,"limulunga",0.852314705120968,0.836378181936897,0.867813429088517,0.953
"43","Southern","livingstone","Livingstone","Livingstone",144377,144377,149230,154154,159136,164157,169237,174408,179665,185003,40.7,10.1,"Southern Province",4336,4184,4281,4511,4424,3919,0.76,0.73,0.75,0.79,0.77,0.68,1.02971085075001,190499.596521304,196159.501601485,201987.567276762,207988.789741479,214168.313631163,220531.436432839,227083.613026379,190499.596521304,196159.501601485,201987.567276762,207988.789741479,214168.313631163,220531.436432839,227083.613026379,64.11765,81,95.5,"livingstone",0.779706785306639,0.759687247267787,0.799535133525785,0.968
"44","Western","luampa","Kaoma","Luampa",11265.835,16094.05,22991.5,32845,47114,52086,53694,64622,65579,66556,38.7,13.8,"Western Province",2484,2015,1598,1567,1729,1734,0.99,0.99,0.99,0.99,0.99,0.99,1.01489806187957,67547.5554064563,68553.8830667151,69575.2030587275,70611.7387391797,71663.7167923397,72731.3672796316,73814.9236899489,67547.5554064563,68553.8830667151,69575.2030587275,70611.7387391797,71663.7167923397,72731.3672796316,73814.9236899489,65.87838,83.4,NA,"luampa",0.870984651490704,0.855695419160481,0.884739491659844,0.953
"45","Lusaka","luangwa","Luangwa","Luangwa",25828,25828,26361,26895,27425,27954,28477,28996,29506,30007,38.2,10.7,"Lusaka Province",1013,951,1045,965,935,995,0.92,0.87,0.95,0.88,0.85,0.91,1.01697959737003,30516.5067782824,31034.6647765173,31561.6208889363,32097.5245039759,32642.5275466279,33196.7845215097,33760.4525566644,30516.5067782824,31034.6647765173,31561.6208889363,32097.5245039759,32642.5275466279,33196.7845215097,33760.4525566644,62.9902,82.9,NA,"luangwa",0.879103137206027,0.866384460519103,0.891682140431314,0.961
"46","Central","luano","Mkushi","Luano",12118.876,17312.68,24732.4,35332,36575,37861,39141,35314,36650,38030,41.2,11.9,"Central Province",2392,1919,1757,1811,1638,2296,0.99,0.99,0.99,0.99,0.99,0.99,1.03765347885402,39461.9618008186,40947.841945024,42489.6706458189,44089.5545609957,45749.6796713415,47472.3142674248,49259.8120488449,39461.9618008186,40947.841945024,42489.6706458189,44089.5545609957,45749.6796713415,47472.3142674248,49259.8120488449,54.80984,84.7,NA,"luano",0.862742697288942,0.850647385152755,0.873744900072164,0.929
"47","Copperbelt","luanshya","Luanshya","Luanshya",167533,167533,168684,169842,171004,172170,173335,174497,175652,176798,36.6,11.8,"Copperbelt Province",5999,5785,6254,5897,5294,5646,0.86,0.83,0.89,0.84,0.76,0.81,1.00652426388541,177951.476806413,179112.479199896,180281.056279366,181457.257464073,182641.132495692,183832.731440423,185032.104691116,177951.476806413,179112.479199896,180281.056279366,181457.257464073,182641.132495692,183832.731440423,185032.104691116,78.92235,82.7,NA,"luanshya",0.849626745560339,0.832866230690404,0.865366996572198,0.989
"48","Copperbelt","lufwanyama","Lufwanyama","Lufwanyama",85268,85268,87282,89347,91460,93622,95834,98094,100401,102755,36.6,11.8,"Copperbelt Province",3981,4051,3725,3663,3645,3425,0.99,0.99,0.99,0.99,0.99,0.96,1.02344598161373,105164.191840719,107629.869549039,110153.357491574,112736.011086012,115379.217529139,118084.396541934,120853.001132124,105164.191840719,107629.869549039,110153.357491574,112736.011086012,115379.217529139,118084.396541934,120853.001132124,78.92235,82.7,NA,"lufwanyama",0.86720804166308,0.854078589907974,0.879619582082817,0.989
"49","Western","lukulu","Lukulu","Lukulu",88629,88629,90744,92877,95027,97192,99391,67946,69485,71062,38.7,13.8,"Western Province",3208,3182,2728,2520,1959,2424,0.99,0.99,0.99,0.99,0.99,0.99,1.02269554580125,72674.7908757286,74324.1849206451,76011.0128636523,77736.1242874989,79500.3880566776,81304.6927550353,83149.9471333139,72674.7908757286,74324.1849206451,76011.0128636523,77736.1242874989,79500.3880566776,81304.6927550353,83149.9471333139,65.87838,83.4,NA,"lukulu",0.853799381278536,0.838559019381202,0.868726646651533,0.953
"50","Eastern","lundazi","Lundazi","Lundazi",332506,332506,343568,354877,366432,378225,390314,136652,141003,145474,43.5,14.4,"Eastern Province",5399,5420,5381,5532,5453,5406,0.99,0.99,0.99,0.99,0.99,0.99,1.03170854520826,150086.768905626,154845.802002632,159755.737115741,164821.359128354,170047.604645562,175439.566805022,181002.500240376,150086.768905626,154845.802002632,159755.737115741,164821.359128354,170047.604645562,175439.566805022,181002.500240376,79.53411,80.5,NA,"lundazi",0.820657552808183,0.805443928528107,0.835196216698336,0.971
"51","Luapula","lunga","Samfya","Lunga",9143.351,13061.93,18659.9,26657,27469,28337,20490,31111,31712,32317,44.6,15.4,"Luapula Province",1105,780,952,976,849,403,0.99,0.73,0.89,0.92,0.8,0.38,1.01907795156408,32933.5421606963,33561.8466828715,34202.1379682883,34854.6446998352,35519.5999232017,36197.2411301119,36887.8103431454,32933.5421606963,33561.8466828715,34202.1379682883,34854.6446998352,35519.5999232017,36197.2411301119,36887.8103431454,77.04485,78.2,NA,"lunga",0.767302704692311,0.748137087750864,0.784049472473332,0.87
"52","Northern","lunte","Mporokoso","Lunte",1631.994,2331.42,3330.6,4758,4908,5060,10217,72674,74745,76859,44,12.2,"Northern Province",3480,3347,3191,3152,3057,2500,0.99,0.99,0.99,0.99,0.99,0.99,1.02828282828283,79032.7898989899,81268.0607244159,83566.551330763,85930.0497522391,88360.3945937166,90859.4764610136,93429.2394316281,79032.7898989899,81268.0607244159,83566.551330763,85930.0497522391,88360.3945937166,90859.4764610136,93429.2394316281,62.7907,87,NA,"lunte district",0.836037125052629,0.818349318973123,0.851772814985939,0.964
"53","Lusaka","lusaka","Lusaka","Lusaka",1886862,1886862,1969994,2055949,2144662,2236090,2330200,2426898,2526102,2627716,38.2,10.7,"Lusaka Province",79143,83406,83968,83466,64694,62071,0.99,0.99,0.99,0.99,0.84,0.8,1.04022561242578,2733417.48538103,2843370.87774583,2957747.2126568,3076724.40568658,3200487.52917068,3329229.10009266,3463149.37954963,2733417.48538103,2843370.87774583,2957747.2126568,3076724.40568658,3200487.52917068,3329229.10009266,3463149.37954963,62.9902,82.9,NA,"lusaka",0.838774116301564,0.823685814480501,0.852929452832806,0.961
"54","Northern","luwingu","Luwingu","Luwingu",127640,127640,133461,139450,145607,151932,15846,93714,97700,101833,44,12.2,"Northern Province",3307,3830,3620,3814,3004,3589,0.99,0.99,0.99,0.99,0.99,0.99,1.04230296827021,106140.838167861,110630.91067705,115310.926581126,120188.921049497,125273.269163085,130572.700293597,136096.313091073,106140.838167861,110630.91067705,115310.926581126,120188.921049497,125273.269163085,130572.700293597,136096.313091073,62.7907,87,NA,"luwingu",0.876747050527099,0.86487214959042,0.887407971923131,0.964
"55","Muchinga","mafinga","Isoka","Mafinga",24699.087,35284.41,50406.3,72009,92015,88399,93327,92464,96514,100700,45.8,13,"Muchinga Province",3439,3759,3737,3876,3322,3500,0.99,0.99,0.99,0.99,0.99,0.99,1.04337194603892,105067.554966119,109624.53929055,114379.168893201,119340.016034413,124516.024770141,129916.527077452,135551.259679419,105067.554966119,109624.53929055,114379.168893201,119340.016034413,124516.024770141,129916.527077452,135551.259679419,70.10676,86.1,NA,"mafinga",0.837143283219481,0.82375548421739,0.850031131721823,0.989
"56","Eastern","mambwe","Mambwe","Mambwe",71070,71070,73892,76800,79795,82877,86059,89361,92781,96322,43.5,14.4,"Eastern Province",3511,3508,3306,3497,3296,3020,0.99,0.99,0.99,0.99,0.99,0.99,1.03816514156993,99998.1427662991,103814.586041705,107776.684415011,111889.996833648,116160.294403064,120593.568483762,125196.039097368,99998.1427662991,103814.586041705,107776.684415011,111889.996833648,116160.294403064,120593.568483762,125196.039097368,79.53411,80.5,NA,"mambwe",0.823329984707184,0.805661286705742,0.840717953825243,0.971
"57","Luapula","mansa","Mansa","Mansa",233583,233583,239538,245510,251505,257517,263584,217030,222061,227157,44.6,15.4,"Luapula Province",15040,14722,13665,12900,10939,7950,0.99,0.99,0.99,0.99,0.87,0.63,1.02294864924503,232369.946316553,237702.522709657,243157.474527979,248737.610122228,254445.80229097,260284.989759615,266258.178693354,232369.946316553,237702.522709657,243157.474527979,248737.610122228,254445.80229097,260284.989759615,266258.178693354,77.04485,78.2,NA,"mansa",0.777509966083185,0.755822228890281,0.797026194453479,0.87
"58","North-Western","manyinga","Kabompo","Manyinga",7305.214,10436.02,14908.6,21298,32674,22286,34544,59102,60610,62128,42,10.2,"North Western Province",1631,1674,1693,1709,1626,1660,0.99,0.99,0.99,0.99,0.99,0.99,1.02504537205082,63684.0188747731,65279.0088211831,66913.9458842182,68589.8305542766,70307.688379411,72068.5705929062,73873.5547565761,63684.0188747731,65279.0088211831,66913.9458842182,68589.8305542766,70307.688379411,72068.5705929062,73873.5547565761,67.46575,83.2,NA,"manyinga",0.835004431548418,0.819374883938187,0.849916274229503,0.856
"59","Copperbelt","masaiti","Masaiti","Masaiti",111738,111738,112849,113970,115102,116244,117393,118548,119706,120864,36.6,11.8,"Copperbelt Province",4224,4789,4875,4651,4326,4269,0.75,0.85,0.87,0.83,0.77,0.76,1.00967370056639,122033.202145256,123213.714801967,124405.647384633,125609.1103662,126824.215288293,128051.074771559,129289.802526103,122033.202145256,123213.714801967,124405.647384633,125609.1103662,126824.215288293,128051.074771559,129289.802526103,78.92235,82.7,NA,"masaiti",0.865481512981578,0.852158657451397,0.877536869533552,0.989
"60","Southern","mazabuka","Mazabuka","Mazabuka",236103,236103,239813,243426,246921,250275,253518,187256,189521,191726,40.7,10.1,"Southern Province",6836,7420,7303,7173,6893,5615,0.9,0.97,0.96,0.94,0.91,0.74,1.01163459458319,193956.654281056,196213.261320327,198496.123067634,200805.54498586,203141.836091826,205505.308997639,207896.279952518,193956.654281056,196213.261320327,198496.123067634,200805.54498586,203141.836091826,205505.308997639,207896.279952518,64.11765,81,95.5,"mazabuka",0.881563974727491,0.870143313525253,0.892320535443965,0.968
"61","Northern","mbala","Mbala","Mbala",210465,210465,217404,224422,231509,238660,245928,135933,140018,144197,44,12.2,"Northern Province",6102,6341,6623,6281,6018,4223,0.99,0.99,0.99,0.99,0.99,0.67,1.02984616263623,148500.727113657,152932.90396669,157497.364290911,162198.056240315,167039.045806145,172024.520333876,177158.792145181,148500.727113657,152932.90396669,157497.364290911,162198.056240315,167039.045806145,172024.520333876,177158.792145181,62.7907,87,NA,"mbala",0.842496240583872,0.828274729624418,0.85567173987413,0.964
"62","Luapula","milenge","Milenge","Milenge",45010,45010,47173,49412,51730,54127,56618,59210,61909,64713,44.6,15.4,"Luapula Province",7320,6393,6597,6842,5976,1573,0.99,0.99,0.99,0.99,0.97,0.25,1.04529228383595,67643.999563876,70707.7507919222,73910.2663101917,77257.8310703038,80757.0146836901,84414.684314488,88238.0181563821,67643.999563876,70707.7507919222,73910.2663101917,77257.8310703038,80757.0146836901,84414.684314488,88238.0181563821,77.04485,78.2,NA,"milengi",0.70309686898292,0.677668338479273,0.728661268142088,0.87
"63","Western","mitete","Lukulu","Mitete",10940.328,15629.04,22327.2,31896,35094,34894,30936,33692,34454,35237,38.7,13.8,"Western Province",1929,1865,1576,1596,1498,543,0.99,0.99,0.99,0.99,0.99,0.43,1.02272595344517,36037.7944215476,36856.7876598384,37694.3933003345,38551.034327622,39427.1433390148,40323.1627630134,41239.5450827278,36037.7944215476,36856.7876598384,37694.3933003345,38551.034327622,39427.1433390148,40323.1627630134,41239.5450827278,65.87838,83.4,NA,"mitete",0.853799381278536,0.838559019381202,0.868726646651533,0.953
"64","Central","mkushi","Mkushi","Mkushi",161484,161484,167828,174371,181121,188071,195247,167354,173686,180223,41.2,11.9,"Central Province",5651,6871,6740,6627,6062,6559,0.99,0.99,0.99,0.99,0.99,0.99,1.03763688495331,187006.03231694,194044.356840827,201347.581975083,208925.677753506,216788.989450906,224948.251706014,233414.60317592,187006.03231694,194044.356840827,201347.581975083,208925.677753506,216788.989450906,224948.251706014,233414.60317592,54.80984,84.7,NA,"mkushi",0.862742697288942,0.850647385152755,0.873744900072164,0.929
"65","Western","mongu","Mongu","Mongu",183414,183414,185427,187391,189312,191186,193043,141601,142977,144377,38.7,13.8,"Western Province",4077,4035,3049,2935,3058,5790,0.99,0.99,0.99,0.99,0.99,0.99,1.00979178469264,145790.70849857,147218.259726376,148659.789228442,150115.43387702,151585.331884587,153069.622816964,154568.447606571,145790.70849857,147218.259726376,148659.789228442,150115.43387702,151585.331884587,153069.622816964,154568.447606571,65.87838,83.4,NA,"mongu",0.852314705120968,0.836378181936897,0.867813429088517,0.953
"66","Southern","monze","Monze","Monze",196572,196572,200308,203991,207600,211112,214557,217971,221347,224680,40.7,10.1,"Southern Province",9272,9474,7935,9115,7708,7459,0.99,0.99,0.97,0.99,0.94,0.91,1.01505780516564,228063.187664617,231497.318709927,234983.16023143,238521.490875403,242113.101012823,245758.792915925,249459.380937397,228063.187664617,231497.318709927,234983.16023143,238521.490875403,242113.101012823,245758.792915925,249459.380937397,64.11765,81,95.5,"monze",0.793883305183962,0.77529158356923,0.810992892627732,0.968
"67","Muchinga","mpika","Mpika","Mpika",214462,214462,225120,235909,246807,257786,268979,155842,162458,169269,45.8,13,"Muchinga Province",4067,3842,3447,4107,3447,3489,0.99,0.99,0.99,0.99,0.99,0.99,1.04192468207167,176365.54900959,183759.618580213,191463.682166801,199490.736169916,207854.321860084,216568.548221291,225648.115752193,176365.54900959,183759.618580213,191463.682166801,199490.736169916,207854.321860084,216568.548221291,225648.115752193,70.10676,86.1,NA,"mpika",0.880541106889653,0.870852151117928,0.890023034832707,0.989
"68","Copperbelt","mpongwe","Mpongwe","Mpongwe",102543,102543,106599,110816,115199,119752,124482,129391,134483,139764,36.6,11.8,"Copperbelt Province",6581,6281,4520,5018,4755,4042,0.99,0.99,0.99,0.99,0.99,0.94,1.03926890387633,145252.379081371,150956.280793325,156884.168473326,163044.837804822,169447.429868111,176101.444703692,183016.755408244,145252.379081371,150956.280793325,156884.168473326,163044.837804822,169447.429868111,176101.444703692,183016.755408244,78.92235,82.7,NA,"mpongwe",0.862207247339935,0.848207450811302,0.875050456281131,0.989
"69","Northern","mporokoso","Mporokoso","Mporokoso",102301,102301,105514,108754,112017,115301,118633,49361,50767,52203,44,12.2,"Northern Province",2771,2236,2036,1881,1642,2006,0.99,0.99,0.99,0.99,0.99,0.99,1.02828609135856,53679.6188271909,55198.0054294295,56759.3412538166,58364.8411659737,60015.7543953222,61713.3655071012,63458.9954018793,53679.6188271909,55198.0054294295,56759.3412538166,58364.8411659737,60015.7543953222,61713.3655071012,63458.9954018793,62.7907,87,NA,"mporokoso",0.836037125052629,0.818349318973123,0.851772814985939,0.964
"70","Northern","mpulungu","Mpulungu","Mpulungu",102094,102094,106163,110319,114561,118886,123321,127897,132615,137480,44,12.2,"Northern Province",3061,3066,2607,2686,2659,3313,0.58,0.6,0.99,0.99,0.99,0.99,1.03668514119821,142523.473211929,147751.966950768,153172.268720669,158791.415026336,164616.70050764,170655.687409346,176916.215398234,142523.473211929,147751.966950768,153172.268720669,158791.415026336,164616.70050764,170655.687409346,176916.215398234,62.7907,87,NA,"mpulungu",0.863970075409831,0.849332746679185,0.877361432920527,0.964
